@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data
0.009901,-0.008874,-6.5978,1.7305,-50.35,17.95,0.123894,8.571429,8.75,-0.028652,0.990108,0.306636,1.718743,2.601439,3.288127,0.372981,0.545051,0.016404,0.714131,6.321618,real
0.009901,-0.0098,-6.4731,3.8456,-96.866667,28.066667,0.197674,6.060606,11,-0.02554,0.990476,0.380046,1.999738,4.258281,3.10645,0.247092,0.527948,0.001863,0.532425,5.92678,real
0.009901,-0.013287,-9.6602,2.5791,-115.25,36.7,0.247423,0,17.5,-0.036823,0.96881,0.349546,2.760887,3.479919,4.667589,0.270301,0.531888,0.001029,0.353003,4.99539,real
0.009901,-0.008974,-4.4629,3.2866,-65.6,19.75,0.204545,14.705882,8.5,-0.023227,0.907089,0.350499,1.413897,3.992467,4.063817,0.282353,0.574789,0.045466,0.416279,7.839126,real
0.009901,-0.010311,-5.2394,2.6055,-65.85,18.075,0.209877,9.375,8,-0.026101,0.923375,0.364825,1.672929,4.401215,2.801366,0.249829,0.564181,0.022713,0.546653,4.530706,real
0.009901,-0.0096,-4.5934,2.4694,-75.066667,25.3,0.225806,4.761905,7,-0.028341,0.985593,0.33382,2.495904,3.055156,3.278121,0.300936,0.375635,0.002989,0.595092,5.985428,real
0.009901,-0.010674,-7.2448,2.275,-224.566667,30,0.17,16.216216,12.333333,-0.02885,0.996782,0.368809,1.931552,3.833775,2.222731,0.287603,0.437119,0.004283,0.543323,6.768986,real
0.009901,-0.007658,-3.9991,1.274,-55.875,20.125,0.116883,8,6.25,-0.023587,0.8864,0.287814,1.416142,2.528237,1.911948,0.361783,0.333216,0.011156,0.551699,0.88136,real
0.009901,-0.00931,-5.435,2.4165,-85.433333,25,0.154762,21.875,10.666667,-0.024438,0.978659,0.372869,1.576104,4.112011,2.914123,0.262712,0.403428,0.025707,0.543091,5.885717,real
0.009901,-0.010365,-6.5296,4.7879,-69.233333,29.433333,0.148936,15.789474,12.666667,-0.02564,0.983333,0.397562,1.805105,5.137583,4.04634,0.216631,0.610052,0.021308,0.675504,4.408859,real
0.009901,-0.009429,-7.1727,2.9801,-76.233333,30.633333,0.151163,13.333333,10,-0.027027,0.966951,0.337273,2.04322,3.19759,2.549728,0.290919,0.432022,0.007703,0.656359,4.400919,real
0.009901,-0.007717,-2.3044,1.4774,-44.92,13.9,0.096386,23.333333,6,-0.021352,0.908025,0.32816,1.206924,3.275702,2.429972,0.281365,0.476917,0.004206,0.580782,3.00794,real
